constraint_center,constraint_width,learning_rate,n_epochs,accuracy
1.0,2,1.0,5,0.9733333333333333
0.5,2,1.0,5,0.9733333333333333
0.3333333333333333,2,1.0,5,0.9733333333333333
0.25,2,1.0,5,0.9733333333333333
0.2,2,1.0,5,0.9733333333333333
0.16666666666666666,2,1.0,5,0.9733333333333333
0.14285714285714285,2,1.0,5,0.9733333333333333
0.125,2,1.0,5,0.9733333333333333
0.1111111111111111,2,1.0,5,0.9733333333333333
0.1,2,1.0,5,0.9733333333333333
0.09090909090909091,2,1.0,5,0.9733333333333333
0.08333333333333333,2,1.0,5,0.9733333333333333
0.07692307692307693,2,1.0,5,0.9733333333333333
0.07142857142857142,2,1.0,5,0.9733333333333333
0.06666666666666667,2,1.0,5,0.9733333333333333
0.0625,2,1.0,5,0.9733333333333333
0.058823529411764705,2,1.0,5,0.9733333333333333
0.05555555555555555,2,1.0,5,0.9733333333333333
0.05263157894736842,2,1.0,5,0.9733333333333333
